ID Unique,CountryCode,SeriesCode,DESCRIPTION
248,IRN,SP.POP.GROW,Data sources: United Nations World Population Prospects
249,IRQ,SP.POP.GROW,Data sources : United Nations World Population Prospects
250,IRQ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
251,ISL,SP.POP.TOTL,Data sources : Eurostat
252,ISL,SP.POP.GROW,Data sources : Eurostat
253,ISR,SP.POP.GROW,Data sources: Central Bureau of Statistics
254,ISR,SP.POP.TOTL,Data sources : Central Bureau of Statistics
255,ITA,SP.POP.TOTL,Data sources : Eurostat
256,ITA,SP.POP.GROW,Data sources : Eurostat
257,JAM,SP.POP.GROW,Data sources : United Nations World Population Prospects
258,JAM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
259,JOR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
260,JOR,SP.POP.GROW,Data sources : United Nations World Population Prospects
261,JPN,SP.POP.GROW,"Data sources: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
262,JPN,SP.POP.TOTL,"Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
263,KAZ,SP.POP.TOTL,"Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
264,KAZ,SP.POP.GROW,"Data sources: Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
265,KEN,SP.POP.GROW,Data sources: United Nations World Population Prospects
266,KEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
267,KGZ,SP.POP.TOTL,"Data sources : National Statistical Committee, United Nations World Population Prospects"
268,KGZ,SP.POP.GROW,"Data sources: National Statistical Committee, United Nations World Population Prospects"
269,KHM,SP.POP.GROW,Data sources: United Nations World Population Prospects
270,KHM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
271,KIR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
272,KIR,SP.POP.GROW,Data sources: United Nations World Population Prospects
273,KNA,SP.POP.GROW,Data sources: United Nations World Population Prospects
274,KNA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
275,KOR,SP.POP.TOTL,Data sources : Korean Statistical Information Service
276,KOR,SP.POP.GROW,Data sources: Korean Statistical Information Service
277,KWT,SP.POP.GROW,Data sources: United Nations World Population Prospects
278,KWT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
279,LAO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
280,LAO,SP.POP.GROW,Data sources: United Nations World Population Prospects
281,LBN,SP.POP.GROW,Data sources : United Nations World Population Prospects
282,LBN,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
283,LBN,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
284,LBN,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
285,LBN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
286,LBN,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
287,LBN,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
288,LBN,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
289,LBR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
290,LBR,SP.POP.GROW,Data sources: United Nations World Population Prospects
291,LBY,SP.POP.GROW,Data sources: United Nations World Population Prospects
292,LBY,NY.GDP.MKTP.PP.CD,Estimates are based on regression.
293,LBY,NY.GNP.PCAP.PP.CD,Estimates are based on regression.
294,LBY,NY.GDP.PCAP.PP.KD,Estimates are based on regression.
295,LBY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
296,LBY,NY.GDP.MKTP.PP.KD,Estimates are based on regression.
297,LBY,NY.GNP.MKTP.PP.CD,Estimates are based on regression.
298,LBY,NY.GDP.PCAP.PP.CD,Estimates are based on regression.
299,LCA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
300,LCA,SP.POP.GROW,Data sources: United Nations World Population Prospects
301,LIE,SP.POP.GROW,Data sources: United Nations World Population Prospects
302,LIE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
303,LKA,SP.POP.TOTL,"Data sources : Registrar General's Department, Department of Census and Statistics"
304,LKA,SP.POP.GROW,"Data sources: Registrar General's Department, Department of Census and Statistics"
305,LSO,SP.POP.GROW,Data sources: United Nations World Population Prospects
306,LSO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
307,LTU,SP.POP.TOTL,Data sources : Eurostat
308,LTU,SP.POP.GROW,Data sources : Eurostat
309,LUX,SP.POP.GROW,Data sources: Eurostat
310,LUX,SP.POP.TOTL,Data sources : Eurostat
311,LVA,SP.POP.TOTL,Data sources : Eurostat
312,LVA,SP.POP.GROW,Data sources : Eurostat
313,MAC,SP.POP.GROW,Data sources: United Nations World Population Prospects
314,MAC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
315,MAR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
316,MAR,NY.GDP.PCAP.KD,Includes Former Spanish Sahara.
317,MAR,SP.POP.1564.TO.ZS,Morocco only. (Excluding former Spanish Sahara)
318,MAR,NY.GDP.PCAP.CD,Includes Former Spanish Sahara.
319,MAR,NY.GDP.PCAP.PP.CD,Includes Former Spanish Sahara.
320,MAR,SP.POP.0014.TO.ZS,Morocco only. (Excluding former Spanish Sahara)
321,MAR,SP.POP.GROW,Data sources: United Nations World Population Prospects
